portal,joinKeys,tableSize,leftTableDataset,leftTableID,leftTableEncoding,leftColumnIndex,rightTableDataset,rightTableID,rightTableEncoding,rightColumnIndex,scoreThreshold,isSameDataset,hasSameColumnName,expRatio,Join Annotation***,Domain/Topic,Data Type of Join Columns**
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/4ed632aa-e08e-4efb-b698-0796b3c02ef9,01f80915-1ed8-4fbc-808f-afe2fb31fd19,ascii,0,https://open.canada.ca/data/en/dataset/bd01c444-d770-4795-b303-f421a117afe5,33586f1f-09fe-4238-8866-844937e68d12,ascii,0,0.9,FALSE,FALSE,0.9375,0,Child Benefit vs Tax,province
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/767a00da-05e2-439e-bc16-4aa74dad3587,4b1e475b-e65c-4c0a-a721-672d742c9992,ascii,0,https://open.canada.ca/data/en/dataset/d99f9752-0805-4920-968f-b8f599ddc62b,4f29b93c-6427-4959-ab64-223123ef971f,ascii,0,0.9,FALSE,TRUE,0.9375,1,Tax,province
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/857d007a-f195-434b-bc00-7012a6244a90,b5e53b6f-0319-48ea-bece-93ea38b58f38,UTF-8-SIG,2,https://open.canada.ca/data/en/dataset/857d007a-f195-434b-bc00-7012a6244a90,e6cc6024-bf63-48ec-bcb0-d917c4871ba8,UTF-8-SIG,2,1,TRUE,TRUE,1,2,Government,categorical string/char code
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/def12b79-c86c-4a1a-9e34-a504f0e6df24,ba956230-bdd2-4278-9273-f3e13f695689,ascii,0,https://open.canada.ca/data/en/dataset/a61f05f7-2ca4-4175-8c76-9433adf3f626,d902038d-dbd6-482d-8da2-3339483a1824,ascii,0,0.9,FALSE,FALSE,0.909090909,1,TFSA statistics,String
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/e5e419f8-7219-4faa-8b0d-22c006b5434f,573c1a59-eab2-4fe1-b0ca-e6f036821e5f,UTF-8-SIG,1,https://open.canada.ca/data/en/dataset/f6db2071-1f97-4d88-8af0-1deeb949ee2f,8edadc03-e06b-480b-b4c4-287d968758a1,UTF-8-SIG,1,0.9,FALSE,TRUE,1.276595745,1,Government,categorical string/char code
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/b0e4161f-5ed4-4bac-9985-e1b17549e0b6,5ea94e22-ea50-4453-b7e8-a4ab7b3b779d,windows-1250,6,https://open.canada.ca/data/en/dataset/b0e4161f-5ed4-4bac-9985-e1b17549e0b6,78ed2307-0f21-4b6e-a375-716f3335c10b,windows-1250,14,0.9,TRUE,TRUE,0.75,1,Workplace Survey,number
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,0a0cace1-5090-4a49-a61e-ebe727d0bf12,ascii,10,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,4408fd9c-c2b2-4689-9c62-373b1a427515,ascii,6,0.9,TRUE,FALSE,0.763636364,1,Fishery,integer
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,000f76ae-92a2-4f1d-88fc-d2949c77d4c4,ascii,0,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,1c376d36-483b-4496-b34c-7976f11e731e,ascii,0,0.9,TRUE,TRUE,1.166666667,2,Fishery,categorical string/char code
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/e5e419f8-7219-4faa-8b0d-22c006b5434f,69c1a3e3-f5e0-46ce-aa82-f4fa22614fc7,UTF-8-SIG,1,https://open.canada.ca/data/en/dataset/69bdc3eb-e919-4854-bc52-a435a3e19092,f8ae598a-8375-4cf7-8eb0-d141eb20a61c,UTF-8-SIG,2,1,FALSE,TRUE,3.651967484,1,Government,categorical string/char code
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,0cb3a363-746d-4842-9fa7-c4111e50ebe1,windows-1250,4,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,d9860873-ae15-44d8-a3fa-074bb7785693,windows-1250,8,0.9,TRUE,FALSE,3.423728814,1,Fishery,integer
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/116d2518-57eb-415e-8d1f-d958e8fac4df,45a6642d-252b-40ec-9a79-9b1a24ea56d1,windows-1250,17,https://open.canada.ca/data/en/dataset/65fecc09-c54d-4467-a0b1-1af3f1a7f82e,9e663eeb-691c-4945-81e8-c0ba621a0956,UTF-8-SIG,11,0.9,FALSE,FALSE,1.014767403,0,Finance vs Translation,integer
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/ac0c94d4-45e3-4b27-9648-b8f36c5dda13,acde97eb-2bb2-4d79-b1b7-13a6a9315529,windows-1250,2,https://open.canada.ca/data/en/dataset/946bd731-62d5-4da0-bbdb-d22be2f2c358,f286df6f-a858-4aa2-b0ac-a21efb208bdd,windows-1250,2,1,FALSE,TRUE,1.571428571,1,Tax,integer
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/b74b93ff-4b25-4ee5-b450-77c6269e3f94,2ba008a8-e16a-443c-89e8-23f1fc315cfc,Windows-1252,0,https://open.canada.ca/data/en/dataset/6384915d-81f3-42d0-8d8f-714513273aa1,c9de0013-43d6-4ee6-9549-bf99a90fadc8,Windows-1252,0,1,FALSE,TRUE,1.125,1,Tax,categorical string/char code
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,8764477f-974f-4ce7-8257-af5883d4f5c8,windows-1250,3,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,a282a7f6-942a-4e4b-a2ef-f7d38bcc7266,windows-1250,7,0.9,TRUE,FALSE,4.618181818,1,Fishery,integer
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,0a0cace1-5090-4a49-a61e-ebe727d0bf12,ascii,8,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,4408fd9c-c2b2-4689-9c62-373b1a427515,ascii,4,0.9,TRUE,FALSE,2.4,1,Fishery,integer
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/d7ea1810-69d6-4934-a5ad-1cfdce27d45b,db479e74-7b73-4f61-9e29-80b02566f7cb,UTF-8-SIG,2,https://open.canada.ca/data/en/dataset/57bd4dfa-8321-4123-aa74-2a740b9e25ae,f770a29f-801b-4427-9317-b7e06f8414a9,UTF-8-SIG,1,0.9,FALSE,TRUE,3.435222672,1,Government,categorical string/char code
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/4d5e6269-0b88-4a6f-a8ef-838053187990,a5b21304-f88c-42a8-8595-2ea7a2aee4dd,Windows-1252,0,https://open.canada.ca/data/en/dataset/6384915d-81f3-42d0-8d8f-714513273aa1,c9de0013-43d6-4ee6-9549-bf99a90fadc8,Windows-1252,0,1,FALSE,TRUE,1.125,1,Tax,categorical string/char code
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,54a4f899-596b-4a3a-932f-705fcca71482,windows-1250,0,https://open.canada.ca/data/en/dataset/6e16f703-9c57-46c9-9194-6573398c17e6,d1982417-f2de-4a41-bdb7-49161c625257,windows-1250,0,0.9,TRUE,FALSE,1.259259259,1,Fishery,categorical string/char code
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/eba5cea1-e765-476c-a78b-773f19f9df52,0ae82064-ca1b-46d0-a6a5-1e2b33b01d09,windows-1250,2,https://open.canada.ca/data/en/dataset/946bd731-62d5-4da0-bbdb-d22be2f2c358,dfd4b665-840c-45d3-847c-1ad6fc34a0f2,windows-1250,2,0.9,FALSE,TRUE,1.523809524,1,Tax,integer
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/f68ff40c-903f-4ff4-9ad0-ad9a1a56acc7,2aadac26-3865-48d3-b840-dbc0a62abb66,Windows-1252,0,https://open.canada.ca/data/en/dataset/6384915d-81f3-42d0-8d8f-714513273aa1,c06038df-5a84-4165-aeb3-47c6e7a1ebe9,Windows-1252,0,1,FALSE,TRUE,1.125,1,Tax,String
CA,nonkey-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/f6db2071-1f97-4d88-8af0-1deeb949ee2f,454e3903-362f-42a7-8f01-234aa0fc7e51,UTF-8-SIG,1,https://open.canada.ca/data/en/dataset/e5e419f8-7219-4faa-8b0d-22c006b5434f,55ce9cc1-4111-4723-9d53-c40a5b38374c,UTF-8-SIG,1,0.9,FALSE,TRUE,1.350515464,1,Government,categorical string/char code
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/4d5e6269-0b88-4a6f-a8ef-838053187990,0337814a-6e66-431a-85bc-25096f644726,ptcp154,0,https://open.canada.ca/data/en/dataset/f68ff40c-903f-4ff4-9ad0-ad9a1a56acc7,24486d40-4646-452d-a451-fa812ce63bdb,ptcp154,0,0.9,FALSE,TRUE,1,1,Tax,String
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/83c19800-74a9-4da5-8d67-d2e0611e167f,2c832e8f-d74a-449f-afa6-43c2d33ed53d,mac_latin2,0,https://open.canada.ca/data/en/dataset/83c19800-74a9-4da5-8d67-d2e0611e167f,e067067a-38df-417d-bcf9-f79aa55f2251,windows-1250,1,1,TRUE,FALSE,1,2,Cluster Map,incremental integer
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/dc9d008f-3cf5-4f80-a14a-26844e8e70e6,402c86ca-9220-45f2-b37d-3e8fb570e2d3,windows-1250,0,https://open.canada.ca/data/en/dataset/b4e2b302-9bc6-4b33-b880-6496f8cef0f1,b38c957b-5b90-4e3c-a08e-22e96d7f6404,windows-1250,9,0.9,FALSE,FALSE,1,0,Tax vs Grants,province
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/2cc50279-633c-4b60-8037-a642fe5ab963,77ca6c81-b443-4d13-8df1-216859bb8e01,ascii,0,https://open.canada.ca/data/en/dataset/2cc50279-633c-4b60-8037-a642fe5ab963,bf7dfc24-36e6-41dd-ae87-9d45d5b97d56,ascii,0,0.9,TRUE,TRUE,1,2,Fishery,categorical string/char code
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/b4e2b302-9bc6-4b33-b880-6496f8cef0f1,239147ed-62ed-4a58-8128-29a14cb93a43,cp775,9,https://open.canada.ca/data/en/dataset/a122e890-1b9a-4f9c-b745-e5d99da32b15,8331f739-918a-4784-964a-899f29e0f6a3,cp775,0,0.9,FALSE,FALSE,1,0,Grants vs Trust,province
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/b4e2b302-9bc6-4b33-b880-6496f8cef0f1,239147ed-62ed-4a58-8128-29a14cb93a43,cp775,9,https://open.canada.ca/data/en/dataset/2281a418-31ea-4f92-84fc-11f4f625ca2f,7e90e2d6-831a-4045-8069-c20d54ec6cab,cp775,0,0.9,FALSE,FALSE,1,0,Grants vs Trust,province
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/c310ca95-6ac9-4556-8d2a-0291df49547c,b7a1a8db-f166-4d5a-9388-9eed066e0c0f,Windows-1252,0,https://open.canada.ca/data/en/dataset/b4efa7b6-af45-4dd4-9a3e-d68d6585ef68,f82d48a4-f1c5-47c4-9d86-0abba1e55973,Windows-1252,0,0.9,FALSE,FALSE,0.846153846,1,GST/HST Statistics,categorical string/char code
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/e19d7468-6f95-475a-bcfc-4141cad76268,5e3348db-6081-4fd2-bd8d-ac3fa13429d0,UTF-8-SIG,3,https://open.canada.ca/data/en/dataset/06f6f823-ff7b-490c-a926-8c18315ee656,af7c328c-0cf7-4961-b236-59d81e4032b7,UTF-8-SIG,0,1,FALSE,FALSE,1,0,Payments vs Hospital stay,incremental integer
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/b18d19c9-f0d4-455b-b3eb-4cc38d6a3c53,4b276806-f1f0-4c6f-9ee5-11a20dcad39c,ascii,2,https://open.canada.ca/data/en/dataset/b18d19c9-f0d4-455b-b3eb-4cc38d6a3c53,f771febf-8642-4365-a8a7-a45681afa002,iso8859_10,4,1,TRUE,FALSE,1,1,Food Consumption,integer
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/cd8fad92-b276-4250-972f-2d6c40ca04fa,4cb827a6-a313-4d97-a66b-26fe23984931,UTF-8-SIG,1,https://open.canada.ca/data/en/dataset/3a1eb6ef-6054-4f9d-b1f6-c30322cd7abf,9f50e475-8758-4e5f-97dd-fe216b31df6b,windows-1250,8,1,FALSE,FALSE,1,0,Government,province
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/8a1d7d54-c297-46fe-b670-bb205641b13e,b6f214b0-c2c8-4ae9-b1b9-dd44f7b93216,utf-8,0,https://open.canada.ca/data/en/dataset/5bfbd75f-7531-48c2-b6b6-072284f7b9e7,d16603dc-ad6b-47bf-a79c-cf6e4ff2a919,utf-8,7,0.9,FALSE,TRUE,0.999757354,2,Snow Removal,integer
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/775f3136-1aa3-4854-a51e-1a2dab362525,02dab6d6-b5d3-415f-80ba-0bc1f517bf03,UTF-8-SIG,0,https://open.canada.ca/data/en/dataset/775f3136-1aa3-4854-a51e-1a2dab362525,7c3e6631-efea-46f5-9f20-bbe94e727de7,UTF-8-SIG,4,1,TRUE,TRUE,1,2,Voting Results,province
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/775f3136-1aa3-4854-a51e-1a2dab362525,3ffcbc39-681f-4f23-955f-5e14c7e8563a,UTF-8-SIG,0,https://open.canada.ca/data/en/dataset/775f3136-1aa3-4854-a51e-1a2dab362525,9f459be8-7ac8-46d7-bb66-339e84bc61d9,UTF-8-SIG,0,1,TRUE,TRUE,1,2,Voting Results,province
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/a4237e35-5cf1-49a9-9412-ee55d3511167,ebf5cd52-70ad-4f3b-9b2d-f0e9a1c36f5d,windows-1250,1,https://open.canada.ca/data/en/dataset/b3518b3d-ea93-4d6e-9ad0-d13165f12d15,f6c252fd-484d-4829-91bb-f968f3131f7c,windows-1250,5,0.9,FALSE,FALSE,0.985377499,0,Plants,incremental integer
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/f8b8190b-c63d-41ca-bbc3-8f494092c4bc,4fa2d9fc-f86e-49e2-874b-66e33d2f1bfa,windows-1250,0,https://open.canada.ca/data/en/dataset/34dc06d6-ae34-494c-ba1e-71487c974d4d,fd98a1c0-6021-4b59-adfa-f362b801bf13,windows-1250,1,0.9,FALSE,FALSE,0.974583333,0,Hospital stay vs Agriculture,incremental integer
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/48c6af68-b4dd-4725-9f12-628e1be54a4d,1c6223b9-52e3-4831-975c-dcbc91b29ad3,ascii,0,https://open.canada.ca/data/en/dataset/bffa692e-6a52-4d35-85b8-c3534d4f8f9e,8af791b5-4a89-4e9e-8f03-288169f33f1f,cp775,0,0.9,FALSE,FALSE,0.977777778,1,Tax,province
CA,key-nonkey,10<r<100,https://open.canada.ca/data/en/dataset/f8b8190b-c63d-41ca-bbc3-8f494092c4bc,57ad55db-3b39-45aa-959d-378ebfa25e55,UTF-8-SIG,0,https://open.canada.ca/data/en/dataset/26668e72-ee94-4473-88e3-b14a7f855408,73ee2482-bacd-4294-99ac-66e58cb40374,mac_latin2,8,0.9,FALSE,FALSE,0.755725191,0,Hospital stay vs Environment,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/533d694b-b692-4127-bf22-d1e41c0b5bba,23e5558d-13e8-4a1e-af61-4b8878f71e58,ascii,0,https://open.canada.ca/data/en/dataset/c0d51791-9337-4c6e-9aca-1e9f871b61a2,db76c184-5ba8-417f-93b9-80378e1394f5,ascii,0,0.9,FALSE,FALSE,0.912380952,0,Lumpfish vs Appeal,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/1bdef9f7-4c0d-489c-8619-b543e7800416,5ce276f2-fdb0-4119-a38c-54951332aeee,windows-1250,0,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,f17f9769-e314-4e08-89f7-8f747680e26e,cp1257,0,0.9,FALSE,TRUE,0.990566038,1,Tax,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/bffa692e-6a52-4d35-85b8-c3534d4f8f9e,0352b70b-7f6d-486d-9d09-d7c1e471a088,hp_roman8,0,https://open.canada.ca/data/en/dataset/1bdef9f7-4c0d-489c-8619-b543e7800416,550f9c46-a845-40c1-af4d-52c1b615f8c9,cp1257,0,0.9,FALSE,TRUE,0.952830189,1,Tax,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,e02d1fff-d266-44ec-bc34-644bea3189d6,cp1257,1,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,f17f9769-e314-4e08-89f7-8f747680e26e,cp1257,1,1,TRUE,TRUE,1,2,Tax,String
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/1bdef9f7-4c0d-489c-8619-b543e7800416,58af96d1-dc17-4989-bac1-5257080d01d8,cp1257,0,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,f359491e-c158-42a0-8be7-9dcfdd6093d1,windows-1250,0,0.9,FALSE,TRUE,0.990566038,1,Tax,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,0d2c8fd7-1ef7-4615-99e7-99533816c2fa,windows-1250,0,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,259f1690-d6de-4bcc-b244-13cb83bebccb,cp775,0,1,TRUE,TRUE,1,2,Tax,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/1bdef9f7-4c0d-489c-8619-b543e7800416,1f060e13-19a4-4e4e-b5b1-559255816e27,cp1257,1,https://open.canada.ca/data/en/dataset/bffa692e-6a52-4d35-85b8-c3534d4f8f9e,d81d9d7a-77f4-4fd3-968d-523d831270b1,windows-1250,1,0.9,FALSE,TRUE,0.943396226,1,Tax,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/d1af59fd-4304-4434-a109-b6bfae37bbf9,05bcd8c3-80f6-4806-b4ed-8f3a84ab708f,utf-8,0,https://open.canada.ca/data/en/dataset/6d824ae0-b2fe-4e8c-a7ac-9762654d9511,6bcf326e-5404-4b29-acac-8b45e8eb6f41,UTF-8-SIG,0,0.9,FALSE,FALSE,0.919191919,0,Survey vs Hospital Stay,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/1bdef9f7-4c0d-489c-8619-b543e7800416,58af96d1-dc17-4989-bac1-5257080d01d8,cp1257,0,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,b472775c-de8b-47b5-bc1b-2490dbfea458,cp1257,0,0.9,FALSE,TRUE,0.990566038,1,Tax,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/2d86f026-10b4-44ac-a68b-80a9dd5dd390,909b48b3-c0dc-4b05-aeb0-f18323eabbb0,windows-1250,1,https://open.canada.ca/data/en/dataset/8babe9f3-4630-436e-957a-c230c2e81256,bae6999c-e60d-42eb-9855-58564dc2c06e,ascii,0,0.9,FALSE,FALSE,0.952380952,0,Air Pollution vs Habitat,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,616f1015-7889-422c-9501-482c846dafec,cp1257,1,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,e44d45b9-2b10-4ceb-89bc-1e59dab51b79,windows-1250,1,1,TRUE,TRUE,1,2,Tax,String
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/1bdef9f7-4c0d-489c-8619-b543e7800416,0ef08424-a2b5-401f-b70d-de7da764eb53,windows-1250,0,https://open.canada.ca/data/en/dataset/bffa692e-6a52-4d35-85b8-c3534d4f8f9e,36421ac7-4fda-45bb-87b8-a34695d20cae,windows-1250,0,0.9,FALSE,TRUE,0.952830189,1,Tax,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,0e3ac852-04ae-462e-8cb5-fe0360355632,hp_roman8,1,https://open.canada.ca/data/en/dataset/db43ce04-e010-44f3-bb8b-11461dfc6996,11a4cc17-d0d7-4544-8005-69d136b135ea,windows-1250,1,1,TRUE,TRUE,1,2,Tax,String
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/dcf460ae-c27f-4721-bec4-6e4467a5a3b6,2fa1de7b-0cd5-4ad8-8971-50f1098e1df6,UTF-8-SIG,7,https://open.canada.ca/data/en/dataset/6d824ae0-b2fe-4e8c-a7ac-9762654d9511,6c680e6e-6ed4-49a9-8b50-8afd948bab1b,windows-1250,0,0.9,FALSE,FALSE,0.94949495,0,Port vs Hospital Stay,incremental integer
CA,key-key,100<r<1000,https://open.canada.ca/data/en/dataset/533d694b-b692-4127-bf22-d1e41c0b5bba,23e5558d-13e8-4a1e-af61-4b8878f71e58,ascii,0,https://open.canada.ca/data/en/dataset/097dfb3f-65d8-4b78-8442-a961052bc168,ccbd4f22-6f0e-4882-b265-18009b551e3d,ascii,0,0.9,FALSE,FALSE,0.990548204,0,Lumpfish vs Appeal,incremental integer
